source airport,source airport id,destination apirport,destination airport id,source city,destination city,airline name,plane model,capacity
JFK,3797,IAD,3714,New York,Washington,Delta Air Lines,Canadair Regional Jet 700,0
JFK,3797,ICN,3930,New York,Seoul,Delta Air Lines,Boeing 777-300ER,396
JFK,3797,ICN,3930,New York,Seoul,Delta Air Lines,Airbus A380-800,520
JFK,3797,IND,3585,New York,Indianapolis,Delta Air Lines,Canadair Regional Jet 900,0
JFK,3797,JAX,3712,New York,Jacksonville,Delta Air Lines,Canadair Regional Jet 900,0
JFK,3797,LAS,3877,New York,Las Vegas,Delta Air Lines,Boeing 737-800,160
JFK,3797,LAS,3877,New York,Las Vegas,Delta Air Lines,Boeing 757,0
JFK,3797,LAX,3484,New York,Los Angeles,Delta Air Lines,Boeing 757-200,162
JFK,3797,LHR,507,New York,London,Delta Air Lines,Boeing 767-400,409
JFK,3797,MAD,1229,New York,Madrid,Delta Air Lines,Boeing 767-400,409
JFK,3797,MCO,3878,New York,Orlando,Delta Air Lines,Boeing 757-200,162
JFK,3797,MCO,3878,New York,Orlando,Delta Air Lines,McDonnell Douglas MD-88,149
JFK,3797,MCO,3878,New York,Orlando,Delta Air Lines,Boeing 737-800,160
JFK,3797,MEX,1824,New York,Mexico City,Delta Air Lines,Boeing 737-800,160
JFK,3797,MEX,1824,New York,Mexico City,Delta Air Lines,Boeing 757,0
JFK,3797,MEX,1824,New York,Mexico City,Delta Air Lines,Boeing 787,0
JFK,3797,MIA,3576,New York,Miami,Delta Air Lines,McDonnell Douglas MD-88,149
JFK,3797,MIA,3576,New York,Miami,Delta Air Lines,Boeing 737-800,160
JFK,3797,MIA,3576,New York,Miami,Delta Air Lines,Airbus A319,132
JFK,3797,MSP,3858,New York,Minneapolis,Delta Air Lines,Canadair Regional Jet 900,0
JFK,3797,MSP,3858,New York,Minneapolis,Delta Air Lines,Airbus A319,132
JFK,3797,MSP,3858,New York,Minneapolis,Delta Air Lines,McDonnell Douglas MD-88,149
JFK,3797,MSY,3861,New York,New Orleans,Delta Air Lines,Canadair Regional Jet 900,0
JFK,3797,MXP,1524,New York,Milano,Delta Air Lines,Boeing 767-400,409
JFK,3797,MXP,1524,New York,Milano,Delta Air Lines,Airbus A330,0
JFK,3797,NAS,1953,New York,Nassau,Delta Air Lines,McDonnell Douglas MD-88,149
JFK,3797,NCE,1354,New York,Nice,Delta Air Lines,Boeing 767-400,409
JFK,3797,NRT,2279,New York,Tokyo,Delta Air Lines,Boeing 747-400,366
JFK,3797,ORD,3830,New York,Chicago,Delta Air Lines,Canadair Regional Jet 900,0
JFK,3797,PAP,1897,New York,Port-au-prince,Delta Air Lines,Boeing 737-800,160
JFK,3797,PDX,3720,New York,Portland,Delta Air Lines,Boeing 757-200,162
JFK,3797,PHL,3752,New York,Philadelphia,Delta Air Lines,Boeing 757-200,162
JFK,3797,PHX,3462,New York,Phoenix,Delta Air Lines,Boeing 737-800,160
JFK,3797,PIT,3570,New York,Pittsburgh,Delta Air Lines,Canadair Regional Jet 900,0
JFK,3797,PIT,3570,New York,Pittsburgh,Delta Air Lines,Boeing 757-200,162
JFK,3797,PVG,3406,New York,Shanghai,Delta Air Lines,Airbus A340-600,475
JFK,3797,RDU,3626,New York,Raleigh-durham,Delta Air Lines,Canadair Regional Jet 700,0
JFK,3797,RDU,3626,New York,Raleigh-durham,Delta Air Lines,Canadair Regional Jet 900,0
JFK,3797,RIC,3608,New York,Richmond,Delta Air Lines,Canadair Regional Jet 900,0
JFK,3797,ROC,3622,New York,Rochester,Delta Air Lines,Canadair Regional Jet 900,0
JFK,3797,SAN,3731,New York,San Diego,Delta Air Lines,Boeing 757,0
JFK,3797,SAV,3613,New York,Savannah,Delta Air Lines,Canadair Regional Jet 900,0
JFK,3797,SAV,3613,New York,Savannah,Delta Air Lines,Canadair Regional Jet 700,0
JFK,3797,SEA,3577,New York,Seattle,Delta Air Lines,Boeing 757-200,162
JFK,3797,SEA,3577,New York,Seattle,Delta Air Lines,Boeing 757,0
JFK,3797,SFO,3469,New York,San Francisco,Delta Air Lines,Boeing 757-200,162
JFK,3797,SJO,1885,New York,San Jose,Delta Air Lines,Boeing 757,0
